NOC,Gold,Silver,Bronze,total
USA,1035,802,708,2545
URS,394,317,294,1005
GBR,278,317,300,895
GER,235,261,283,779
FRA,234,256,287,777
CHN,227,162,153,542
ITA,219,191,198,608
HUN,178,154,172,504
GDR,153,129,127,409
RUS,153,143,164,460
SWE,150,175,188,513
AUS,147,167,192,506
JPN,142,134,161,437
FIN,104,86,120,310
KOR,90,85,89,264
ROU,88,95,120,303
NED,88,97,114,299
CUB,77,67,70,214
POL,69,87,134,290
CAN,64,104,137,305
NOR,59,51,48,158
SUI,58,82,69,209
FRG,56,67,81,204
BUL,51,86,80,217
TCH,49,50,47,146
DEN,49,81,82,212
NZL,47,27,44,118
EUN,45,38,29,112
BEL,44,59,63,166
ESP,44,63,41,148
GRE,42,57,52,151
TUR,40,27,28,95
UKR,35,32,59,126
KEN,31,38,31,100
BRA,30,36,62,128
AUT,26,40,42,108
YUG,26,29,28,83
RSA,25,33,30,88
JAM,22,32,22,76
ETH,22,9,22,53
ARG,21,25,28,74
KAZ,19,22,29,70
IRI,18,21,29,68
PRK,16,15,23,54
CZE,15,17,22,54
MEX,13,24,30,67
BLR,13,28,43,84
CRO,11,10,12,33
EST,9,9,16,34
UZB,9,7,17,33
SVK,9,11,8,28
THA,9,8,13,30
IRL,9,11,13,33
IND,9,7,12,28
GEO,8,6,18,32
EGY,7,8,12,27
INA,7,12,11,30
AZE,7,12,25,44
BAH,6,2,6,14
LTU,6,6,13,25
MAR,6,5,12,23
SLO,5,8,10,23
ALG,5,4,8,17
COL,5,9,14,28
POR,4,8,12,24
LUX,4,2,0,6
LAT,3,11,5,19
PAK,3,3,4,10
SRB,3,6,6,15
ZIM,3,4,1,8
NGR,3,8,13,24
ANZ,3,4,5,12
CMR,3,1,1,5
TUN,3,3,7,13
TTO,3,5,11,19
DOM,3,2,2,7
TPE,3,7,14,24
VEN,2,3,10,15
UGA,2,3,2,7
SCG,2,4,3,9
URU,2,2,6,10
MGL,2,10,14,26
ARM,2,5,9,16
CHI,2,7,4,13
VIE,1,3,0,4
BDI,1,1,0,2
ISR,1,1,7,9
PUR,1,2,6,9
SGP,1,2,2,5
KOS,1,0,0,1
SYR,1,1,1,3
UAE,1,0,1,2
JOR,1,0,0,1
MOZ,1,0,1,2
PER,1,3,0,4
PAN,1,0,2,3
FIJ,1,0,0,1
BRN,1,1,1,3
HAI,1,1,1,3
TJK,1,1,2,4
CIV,1,1,1,3
IOA,1,1,3,5
ECU,1,1,0,2
CRC,1,1,2,4
GRN,1,1,0,2
HKG,1,1,1,3
SUR,1,0,1,2
PNG,0,0,0,0
TGA,0,1,0,1
WIF,0,0,2,2
YAR,0,0,0,0
PLE,0,0,0,0
VNM,0,0,0,0
PLW,0,0,0,0
NIG,0,1,1,2
PHI,0,3,7,10
RHO,0,0,0,0
PAR,0,1,0,1
TAN,0,2,0,2
SWZ,0,0,0,0
OMA,0,0,0,0
YEM,0,0,0,0
YMD,0,0,0,0
NRU,0,0,0,0
ZAM,0,1,1,2
QAT,0,1,4,5
SOL,0,0,0,0
VIN,0,0,0,0
ROT,0,0,0,0
SMR,0,0,0,0
TUV,0,0,0,0
TOG,0,0,1,1
TLS,0,0,0,0
UAR,0,1,1,2
SLE,0,0,0,0
SKN,0,0,0,0
SRI,0,2,0,2
SSD,0,0,0,0
SEY,0,0,0,0
SEN,0,1,0,1
UNK,0,0,0,0
STP,0,0,0,0
SAM,0,0,0,0
SAA,0,0,0,0
RWA,0,0,0,0
SUD,0,1,0,1
VAN,0,0,0,0
SOM,0,0,0,0
TKM,0,0,0,0
AFG,0,0,2,2
NFL,0,0,0,0
NEP,0,0,0,0
CAY,0,0,0,0
CGO,0,0,0,0
CHA,0,0,0,0
COD,0,0,0,0
COK,0,0,0,0
COM,0,0,0,0
CPV,0,0,0,0
CRT,0,0,0,0
CYP,0,1,0,1
DJI,0,0,1,1
DMA,0,0,0,0
ERI,0,0,1,1
ESA,0,0,0,0
FSM,0,0,0,0
GAB,0,1,0,1
GAM,0,0,0,0
GBS,0,0,0,0
CAM,0,0,0,0
CAF,0,0,0,0
BUR,0,0,0,0
BAR,0,0,1,1
ALB,0,0,0,0
AND,0,0,0,0
ANG,0,0,0,0
ANT,0,0,0,0
ARU,0,0,0,0
ASA,0,0,0,0
BAN,0,0,0,0
BEN,0,0,0,0
BRU,0,0,0,0
BER,0,0,1,1
BHU,0,0,0,0
BIH,0,0,0,0
BIZ,0,0,0,0
BOH,0,1,6,7
BOL,0,0,0,0
BOT,0,1,0,1
GEQ,0,0,0,0
GHA,0,1,3,4
GUA,0,1,0,1
MLT,0,0,0,0
MAS,0,7,4,11
MAW,0,0,0,0
MDA,0,2,5,7
MDV,0,0,0,0
MHL,0,0,0,0
MKD,0,0,1,1
MLI,0,0,0,0
MNE,0,1,0,1
MAD,0,0,0,0
MON,0,0,1,1
MRI,0,0,1,1
MTN,0,0,0,0
MYA,0,0,0,0
NAM,0,4,0,4
NBO,0,0,0,0
NCA,0,0,0,0
MAL,0,0,0,0
LIE,0,0,0,0
GUI,0,0,0,0
KGZ,0,1,2,3
GUM,0,0,0,0
GUY,0,0,1,1
HON,0,0,0,0
IRQ,0,0,1,1
ISL,0,2,2,4
ISV,0,1,0,1
IVB,0,0,0,0
KIR,0,0,0,0
LIB,0,2,2,4
KSA,0,1,2,3
KUW,0,0,2,2
LAO,0,0,0,0
AHO,0,1,0,1
LBR,0,0,0,0
LCA,0,0,0,0
LES,0,0,0,0
LBA,0,0,0,0
